2026-06-16 17:05:36 | INFO    | src.pricing.pricing_analytics | [zip_cluster] wrote 598 rows → /home/claude/nj-housing-pricing-model/data/processed/pricing_by_zip_cluster.csv
2026-06-16 17:05:36 | INFO    | src.pricing.pricing_analytics | building final pricing matrix
2026-06-16 17:05:36 | INFO    | src.pricing.pricing_analytics | wrote pricing matrix (598 markets × 17 cells) → /home/claude/nj-housing-pricing-model/outputs/pricing_matrix.csv
2026-06-16 17:05:36 | INFO    | __main__ | ───── Phase 6: HEDONIC MODEL ─────
2026-06-16 17:05:37 | INFO    | src.modeling.hedonic_model | wrote model evaluation report → /home/claude/nj-housing-pricing-model/reports/model_evaluation_report.md
2026-06-16 17:05:37 | INFO    | __main__ | model results: {'linear': {'test_metrics': {'MAE': 163323.95331656825, 'RMSE': 271789.8341896345, 'R2': 0.18017087624191797}, 'cv_r2_mean': 0.11545344542770679, 'cv_r2_std': 0.09777390096606046, 'cv_mae_mean': 175217.30491076078}, 'ridge': {'best_alpha': 100.0, 'test_metrics': {'MAE': 159746.0656150477, 'RMSE': 263599.93227189884, 'R2': 0.22883463956311711}, 'cv_r2_mean': 0.11507269741139307}}
2026-06-16 17:05:37 | INFO    | __main__ | ───── Phase 7: CLUSTERING ─────
2026-06-16 17:05:38 | INFO    | src.modeling.clustering | k-means: chose k=4 (elbow scan over [2, 8])
2026-06-16 17:05:38 | INFO    | src.modeling.clustering | clustered: 6014 rows → /home/claude/nj-housing-pricing-model/data/processed/listings_with_tier.parquet
2026-06-16 17:05:38 | INFO    | __main__ | ───── Phase 8: CHARTS ─────
2026-06-16 17:05:41 | INFO    | src.visualization.charts | wrote 8 chart files to /home/claude/nj-housing-pricing-model/reports/figures
2026-06-16 17:05:41 | INFO    | __main__ | ───── Phase 9: MAP ─────
2026-06-16 17:05:41 | WARNING | src.visualization.map | no county GeoJSON at /home/claude/nj-housing-pricing-model/data/external/nj_counties.geojson — falling back to centroid markers only
2026-06-16 17:05:49 | INFO    | src.visualization.map | wrote interactive map: /home/claude/nj-housing-pricing-model/outputs/nj_housing_map.html
2026-06-16 17:05:49 | INFO    | __main__ | ───── Phase 10: DECK ─────
2026-06-16 17:05:49 | INFO    | src.reporting.deck | wrote summary deck: /home/claude/nj-housing-pricing-model/reports/summary_deck.pptx
